country,main_cat,sub_cat1,old_mult
IT,betten,boxspringbetten,1.04
IT,matratzen&lattenroste,lattenroste,1.04
IT,polster,bigsofas,1.07
IT,bad,spiegel,1.07
IT,matratzen&lattenroste,matratzentopper,1.04
IT,heimtextilien,bettdecken & kopfkissen,1.15
IT,bad,badset,1.07
IT,baby,komplettprogramme & sets,1.15
IT,heimtextilien,handtücher,1.15
IT,polster,ecksofas,1.07
IT,wohnen,kamine,1.07
IT,schlafzimmermöbel,nachtkommoden,1.07
IT,schlafzimmermöbel,bettbänke&betttruhen,1.07
IT,boutique,badaccessoires,1.15
IT,baby,betten,1.15
IT,leuchten,innenleuchten,1.15
IT,teppiche & bodenbeläge,läufer,1.11
IT,polster,recamieren,1.07
IT,esszimmertische,esstische,1.06
IT,garten,gartenliege,1.15
IT,garten,gartentische,1.15
IT,wohnen,tv-mediamöbel,1.07
IT,garten,bänke & hocker,1.15
IT,heimtextilien,badematten & badteppiche,1.15
NL,kinder,aufbewahrung,1.11
NL,teppiche & bodenbeläge,hochflorteppiche & shaggys,1.15
NL,polster,bigsofas,1.06
NL,wohnen,tische,1.1
NL,kinder,kommoden,1.11
NL,garten,komplettprogramme & sets,1.08
NL,bad,badregale,1.1
NL,polster,einzelsofas,1.06
NL,matratzen&lattenroste,matratzentopper,1.1
NL,heimtextilien,bettwäsche,1.14
NL,esszimmertische,esstische,1.07
NL,baby,komplettprogramme & sets,1.12
NL,wohnen,vitrinen & schränke,1.1
NL,flurmöbel,schuhschränke,1.1
NL,esszimmerstühle&bänke,barhocker,1.07
NL,wohnen,tv-mediamöbel,1.1
NL,schlafzimmermöbel,schminktische,1.1
NL,boutique,wandekoration,1.19
NL,teppiche & bodenbeläge,kinderteppiche,1.15
NL,kinder,n/a,1.11
NL,heimtextilien,handtücher,1.14
NL,kinder,regale,1.11
NL,matratzen&lattenroste,lattenroste,1.1
NL,haushalt,küchenaufbewahrung,1.12
NL,bad,badset,1.1
NL,heimtextilien,kissen,1.14
NL,polster,recamieren,1.06
NL,esszimmertische,barset,1.07
NL,garten,gartenliege,1.08
NL,polster,n/a,1.06
NL,büro,bürostühle,1.12
NL,büro,schreibtische,1.12
NL,haushalt,gläser,1.12
NL,garten,bänke & hocker,1.08
NL,büro,büroschränke,1.12
NL,esszimmertische,buffets,1.07
NL,schlafzimmermöbel,nachtkommoden,1.1
NL,haushalt,kannen & krüge,1.12
NL,schlafzimmermöbel,bettbänke&betttruhen,1.1
NL,baby,betten,1.12
NL,leuchten,innenleuchten,1.1
NL,betten,himmelbetten,1.1
NL,wohnen,kamine,1.1
NL,küche,küche,1.12
NL,teppiche & bodenbeläge,outdoor-teppiche,1.15
NL,garten,gartentische,1.08
NL,teppiche & bodenbeläge,wollteppiche,1.15
NL,baby,n/a,1.12
NL,esszimmertische,bartische,1.07
NL,kinder,betten & zubehör,1.11
NL,schlafzimmermöbel,n/a,1.1
NL,haushalt,barzubehör,1.12
NL,matratzen&lattenroste,matratzen/lattenrost-sets,1.1
NL,baby,regale,1.12
NL,flurmöbel,n/a,1.1
NL,heimtextilien,n/a,1.14
NL,boutique,aufbewahrung,1.19
NL,baby,schränke,1.12
NL,kinder,nachttische,1.11
NL,esszimmerstühle&bänke,bänke,1.07
NL,esszimmerstühle&bänke,esszimmerstühle,1.07
NL,esszimmertische,zubehör,1.07
NL,heimtextilien,duschvorhänge,1.14
NL,boutique,dekoration,1.19
NL,leuchten,zubehör,1.1
NL,polster,sitzwürfel & polsterhocker,1.06
NL,garten,gartenstühle,1.08
NL,heimtextilien,gardinen & vorhänge,1.14
NL,betten,boxspringbetten,1.1
NL,garten,garten loungemöbel,1.08
NL,haushalt,küchenhelfer,1.12
NL,teppiche & bodenbeläge,kurzflorteppiche,1.15
NL,schlafzimmermöbel,kleiderschränke & zubehör,1.1
NL,polster,sessel,1.06
NL,bad,spiegel,1.1
NL,heimtextilien,bettdecken & kopfkissen,1.14
NL,bad,badschränke,1.1
NL,esszimmertische,essgruppen,1.07
NL,teppiche & bodenbeläge,n/a,1.15
NL,bad,waschtische,1.1
NL,esszimmerstühle&bänke,n/a,1.07
NL,schlafzimmermöbel,kommoden,1.1
NL,kinder,tische & zubehör,1.11
NL,polster,ecksofas,1.06
NL,kinder,komplettprogramme & sets,1.11
NL,heimtextilien,badematten & badteppiche,1.14
NL,boutique,saisonartikel weihnachten,1.19
NL,boutique,duftartikel,1.19
NL,boutique,badaccessoires,1.19
NL,teppiche & bodenbeläge,läufer,1.15
NL,heimtextilien,bettlaken,1.14
NL,haushalt,mülleimer,1.12
NL,esszimmertische,bar,1.07
NL,polster,schlafsofas,1.06
NL,wohnen,n/a,1.1
NL,flurmöbel,garderoben,1.1
NL,haushalt,küchenutensilien,1.12
NL,boutique,n/a,1.19
NL,heimtextilien,tagesdecken & plaids,1.14
NL,polster,polstergarnituren & sets,1.06
NL,kinder,schränke & zubehör,1.11
NL,wohnen,spiegel,1.1
NL,garten,gartenzubehör,1.08
NL,wohnen,kommoden & sideboards,1.1
NL,heimtextilien,tischwäsche,1.14
NL,esszimmertische,n/a,1.07
NL,teppiche & bodenbeläge,fellteppiche,1.15
NL,leuchten,außenleuchten,1.1
NL,boutique,gartenaccessoires,1.19
NL,polster,zubehör,1.06
NL,büro,büro-komplettsets,1.12
NL,teppiche & bodenbeläge,fuß- & sauberlaufmatten,1.15
NL,polster,relaxliegen,1.06
NL,büro,sekretäre,1.12
NL,betten,bettgestelle,1.1
NL,matratzen&lattenroste,matratzen,1.1
NL,kinder,sitzgelegenheiten,1.11
NL,haushalt,geschirr,1.12
NL,schlafzimmermöbel,schlafzimmersets,1.1
NL,büro,n/a,1.12
NL,betten,zubehör,1.1
NL,baby,wickelkommoden & zubehör,1.12
NL,bad,n/a,1.1
NL,polster,wohnlandschaften,1.06
NL,wohnen,regale,1.1
NL,betten,gästebetten,1.1
